"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT5G20500",0.00026548293022297,0.270258732601706,0.3,0.076,1,"8","AT5G20500"
"AT3G499101",0.000276115608160199,0.413996969092455,0.5,0.181,1,"8","AT3G49910"
"AT1G22300",0.000279342786671505,0.265630997949192,0.3,0.076,1,"8","AT1G22300"
"AT4G31180",0.000286578239808106,0.294800916864498,0.25,0.057,1,"8","AT4G31180"
"AT5G179202",0.000286952123545704,0.451911036667502,0.75,0.358,1,"8","AT5G17920"
"AT5G202501",0.000311400492356106,0.628757618600841,0.6,0.3,1,"8","AT5G20250"
"AT1G65930",0.000312985710560115,0.337034987277571,0.6,0.233,1,"8","AT1G65930"
"AT3G20820",0.000338106085362964,0.292445495866368,0.25,0.058,1,"8","AT3G20820"
"ATCG00780",0.000349804977956795,0.265630997949192,0.3,0.078,1,"8","ATCG00780"
"AT3G557502",0.000365151109707825,0.353498173888232,0.45,0.155,1,"8","AT3G55750"
"AT3G19420",0.000374435960197749,0.26794300972748,0.3,0.079,1,"8","AT3G19420"
"AT3G58640",0.000375866847499489,0.312015794687899,0.3,0.08,1,"8","AT3G58640"
"AT5G626901",0.000376264590125125,0.36190108097676,0.55,0.211,1,"8","AT5G62690"
"AT1G65720",0.00038467207425992,0.333798508383979,0.35,0.104,1,"8","AT1G65720"
"AT4G38900",0.000386918312418667,0.265630997949192,0.3,0.079,1,"8","AT4G38900"
"AT5G397401",0.00044980695250812,0.340787122138678,0.45,0.155,1,"8","AT5G39740"
"AT2G27530",0.000467566076323556,0.27348119326891,0.35,0.102,1,"8","AT2G27530"
"AT4G297351",0.000471517213724218,0.280207056457223,0.35,0.103,1,"8","AT4G29735"
"AT1G684001",0.000518389858031217,0.41990325445066,0.35,0.109,1,"8","AT1G68400"
"AT4G344501",0.000535559215821786,0.572049181917992,0.6,0.27,1,"8","AT4G34450"
"AT3G58500",0.000538803729248374,0.308850600261445,0.45,0.157,1,"8","AT3G58500"
"AT4G211501",0.000542544768401731,0.262169912624531,0.3,0.081,1,"8","AT4G21150"
"AT4G16660",0.000559922932503063,0.258717110719015,0.3,0.081,1,"8","AT4G16660"
"AT4G10480",0.000565542331950979,0.291269225894245,0.25,0.061,1,"8","AT4G10480"
"AT1G546301",0.000578278153628618,0.323713608779737,0.35,0.107,1,"8","AT1G54630"
"AT4G142701",0.000580153040892975,0.343954401217361,0.45,0.16,1,"8","AT4G14270"
